symbol,in_portfolio,status,current_shares,add_shares,target_shares,price_run,current_value_usd,add_value_usd,target_value_usd,weight_total_100,weight_total_pct,weight_trades_100,weight_trades_pct
AAPL,1,Keep in portfolio,23,0,23,254.63,5856.49,0.0,5856.49,0.08574129932585395,8.574129932585395,0.0,0.0
ALIT,1,Keep in portfolio,700,0,700,3.26,2282.0,0.0,2282.0,0.033409370640366275,3.3409370640366274,0.0,0.0
AMZN,1,Keep in portfolio,50,0,50,219.57,10978.5,0.0,10978.5,0.1607295247919637,16.07295247919637,0.0,0.0
ARDT,1,Keep in portfolio,190,0,190,13.25,2517.5,0.0,2517.5,0.03685718255351538,3.685718255351538,0.0,0.0
AVGO,1,Keep in portfolio,13,0,13,329.91,4288.83,0.0,4288.83,0.06279014508480373,6.279014508480373,0.0,0.0
AXON,1,Keep in portfolio,2,0,2,717.64,1435.28,0.0,1435.28,0.02101305937454203,2.101305937454203,0.0,0.0
BWMX,1,Keep in portfolio,80,0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,1,Keep in portfolio,25,0,25,94.59,2364.75,0.0,2364.75,0.03462086293681251,3.462086293681251,0.0,0.0
COUR,1,Keep in portfolio,200,0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRTO,1,Keep in portfolio,150,0,150,22.6,3390.0,0.0,3390.0,0.04963092308099986,4.963092308099986,0.0,0.0
CTRA,1,Keep in portfolio,170,0,170,23.65,4020.4999999999995,0.0,4020.4999999999995,0.05886168915845425,5.886168915845425,0.0,0.0
CVS,1,Keep in portfolio,35,0,35,75.39,2638.65,0.0,2638.65,0.038630865837073834,3.8630865837073833,0.0,0.0
DOX,1,Keep in portfolio,24,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDYA,1,Keep in portfolio,41,0,41,27.21,1115.6100000000001,0.0,1115.6100000000001,0.01633296581073577,1.6332965810735771,0.0,0.0
INSW,1,Keep in portfolio,22,0,22,46.08,1013.76,0.0,1013.76,0.014841842059762366,1.4841842059762367,0.0,0.0
MAX,1,Keep in portfolio,180,0,180,11.38,2048.4,0.0,2048.4,0.029989375468766996,2.9989375468766997,0.0,0.0
MU,1,Keep in portfolio,13,0,13,167.32,2175.16,0.0,2175.16,0.031845191341848864,3.184519134184886,0.0,0.0
NVDA,1,Keep in portfolio,52,0,52,186.58,9702.16,0.0,9702.16,0.1420434090500158,14.204340905001581,0.0,0.0
PRCT,1,Keep in portfolio,55,0,55,35.69,1962.9499999999998,0.0,1962.9499999999998,0.02873835411853943,2.873835411853943,0.0,0.0
PRU,1,Keep in portfolio,20,0,20,103.74,2074.7999999999997,0.0,2074.7999999999997,0.030375881772406636,3.0375881772406634,0.0,0.0
QUAD,1,Keep in portfolio,155,0,155,6.26,970.3,0.0,970.3,0.014205570697785889,1.420557069778589,0.0,0.0
RCI,1,Keep in portfolio,28,0,28,34.47,965.16,0.0,965.16,0.014130319091698474,1.4130319091698473,0.0,0.0
SPGI,1,Keep in portfolio,9,0,9,486.71,4380.389999999999,0.0,4380.389999999999,0.0641306192196994,6.413061921969939,0.0,0.0
UAL,1,Keep in portfolio,22,0,22,96.5,2123.0,0.0,2123.0,0.03108154858435478,3.108154858435478,0.0,0.0
