symbol,in_portfolio,status,current_shares,add_shares,target_shares,price_run,current_value_usd,add_value_usd,target_value_usd,weight_total_100,weight_total_pct,weight_trades_100,weight_trades_pct
AAPL,1,Keep in portfolio,23,0,23,255.46,5875.58,0.0,5875.58,0.07861279441097468,7.8612794410974685,0.0,0.0
ALIT,1,Keep in portfolio,700,0,700,3.25,2275.0,0.0,2275.0,0.03043854517936398,3.043854517936398,0.0,0.0
AMZN,1,Keep in portfolio,50,0,50,219.78,10989.0,0.0,10989.0,0.147028207901552,14.702820790155199,0.0,0.0
ARDT,1,Keep in portfolio,190,0,190,13.26,2519.4,0.0,2519.4,0.03370851460434708,3.370851460434708,0.0,0.0
AVGO,1,Keep in portfolio,13,0,13,334.53,4348.889999999999,0.0,4348.889999999999,0.058186322964872174,5.818632296487217,0.0,0.0
AXON,1,Keep in portfolio,2,0,2,708.84,1417.68,0.0,1417.68,0.01896796339774977,1.8967963397749772,0.0,0.0
BWMX,1,Keep in portfolio,80,0,80,12.82,1025.6,0.0,1025.6,0.01372209755426624,1.372209755426624,0.0,0.0
COP,1,Keep in portfolio,25,0,25,98.48,2462.0,0.0,2462.0,0.0329405266952062,3.2940526695206205,0.0,0.0
COUR,1,Keep in portfolio,200,0,200,11.72,2344.0,0.0,2344.0,0.031361736219968864,3.1361736219968863,0.0,0.0
CRTO,1,Keep in portfolio,150,0,150,22.25,3337.5,0.0,3337.5,0.04465434924664936,4.465434924664936,0.0,0.0
CTRA,1,Keep in portfolio,170,0,170,23.83,4051.1,0.0,4051.1,0.054202017747745676,5.420201774774568,0.0,0.0
CVS,1,Keep in portfolio,35,0,35,75.77,2651.95,0.0,2651.95,0.03548197797292936,3.548197797292936,0.0,0.0
DOX,1,Keep in portfolio,24,0,24,81.63,1959.12,0.0,1959.12,0.02621220335463541,2.621220335463541,0.0,0.0
IDYA,1,Keep in portfolio,41,0,41,26.83,1100.03,0.0,1100.03,0.014717939715892641,1.471793971589264,0.0,0.0
INSW,1,Keep in portfolio,22,0,22,47.22,1038.84,0.0,1038.84,0.013899243197419989,1.3899243197419988,0.0,0.0
MAX,1,Keep in portfolio,180,0,180,12.04,2167.2,0.0,2167.2,0.028996226423172577,2.8996226423172575,0.0,0.0
MU,1,Keep in portfolio,13,0,13,157.27,2044.5100000000002,0.0,2044.5100000000002,0.027354685716334707,2.735468571633471,0.0,0.0
NVDA,1,Keep in portfolio,52,0,52,178.19,9265.88,0.0,9265.88,0.12397358549739125,12.397358549739126,0.0,0.0
PRCT,1,Keep in portfolio,55,0,55,36.66,2016.2999999999997,0.0,2016.2999999999997,0.026977247756110587,2.6977247756110585,0.0,0.0
PRU,1,Keep in portfolio,20,0,20,104.41,2088.2,0.0,2088.2,0.027939239579581474,2.7939239579581474,0.0,0.0
QUAD,1,Keep in portfolio,155,0,155,6.55,1015.25,0.0,1015.25,0.013583618898175508,1.358361889817551,0.0,0.0
RCI,1,Keep in portfolio,28,0,28,35.66,998.4799999999999,0.0,998.4799999999999,0.013359243336567624,1.3359243336567623,0.0,0.0
SPGI,1,Keep in portfolio,9,0,9,487.18,4384.62,0.0,4384.62,0.05866437536894193,5.8664375368941934,0.0,0.0
UAL,1,Keep in portfolio,22,0,22,97.91,2154.02,0.0,2154.02,0.028819883554836747,2.8819883554836747,0.0,0.0
NFLX,0,New,0,1,1,1210.61,0.0,1210.61,1210.61,0.016197453705314207,1.6197453705314206,1.0,100.0
