symbol,action,add_shares,price_run,add_value_usd,target_weight,rationale,prev_shares,target_shares,mu_mean_q,mu_sd_q,target_value_usd
ALK,New,19,50.88,966.72,0.05024419932402758,"PE_ttm 14.2 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: 10.53%; RSI14: 24.2; MACD hist: -1.118; mean=0.16, 30d imbalance=0.00 (pos=0, neg=0); implied=30.27%, rating balance=0.93 (SB=4,B=9,H=1,S=0,SS=0); regime=Mixed, beta_1y=1.57 -> score=-0.23",0,19,0.068336836836413,0.02,966.72
ARDT,Increase,75,13.26,994.5,0.05168803399924014,"PE_ttm 7.7 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.2% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: -1.21%; RSI14: 55.1; MACD hist: -0.040; mean=0.22, 30d imbalance=0.00 (pos=0, neg=0); implied=46.43%, rating balance=0.73 (SB=2,B=7,H=1,S=0,SS=1); regime=Mixed, beta_1y=0.65 -> score=0.14",190,265,0.1000400285364671,0.02,3513.9
CRNT,New,421,2.37,997.7700000000001,0.05185798862083644,"PE_ttm 9.1 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: 0.41%; RSI14: 85.1; MACD hist: 0.067; mean=0.25, 30d imbalance=0.00 (pos=0, neg=0); implied=92.31%, rating balance=1.00 (SB=1,B=4,H=0,S=0,SS=0); regime=Mixed, beta_1y=1.48 -> score=-0.19",0,421,0.1776037069248179,0.02,997.77
CWT,New,21,45.67,959.07,0.049846599062494966,"PE_ttm 19.8 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: -2.64%; RSI14: 43.9; MACD hist: -0.121; mean=0.30, 30d imbalance=0.00 (pos=0, neg=0); implied=22.25%, rating balance=1.00 (SB=0,B=5,H=0,S=0,SS=0); regime=Mixed, beta_1y=0.05 -> score=0.38",0,21,0.0515000134230854,0.02,959.07
DDI,New,107,9.32,997.24,0.05183044245892633,"PE_ttm 4.4 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -1.57%; RSI14: 30.8; MACD hist: -0.000; mean=0.28, 30d imbalance=0.00 (pos=0, neg=0); implied=104.79%, rating balance=1.00 (SB=0,B=4,H=0,S=0,SS=0); regime=Mixed, beta_1y=0.46 -> score=0.22",0,107,0.1962603823938249,0.02,997.24
FLOC,New,62,16.01,992.6200000000001,0.051590323085294876,"PE_ttm 28.0 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.0% vs med 0.1%; Revenue TTM positive; Insufficient technical history (<220 days); mean=0.15, 30d imbalance=0.00 (pos=0, neg=0); implied=120.77%, rating balance=1.00 (SB=3,B=5,H=0,S=0,SS=0); No beta data",0,62,0.218948556488786,0.02,992.62
HTO,New,20,48.41,968.1999999999999,0.05032112068181428,"PE_ttm 15.5 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -8.30%; RSI14: 46.3; MACD hist: -0.110; mean=0.23, 30d imbalance=0.00 (pos=0, neg=0); implied=25.75%, rating balance=0.75 (SB=0,B=3,H=1,S=0,SS=0); regime=Mixed, beta_1y=0.05 -> score=0.38",0,20,0.0589480137585463,0.02,968.2
IDYA,Increase,37,26.83,992.7099999999999,0.051595000735430545,"ROA -0.2% vs med 0.0%; ROE -0.4% vs med 0.1%; Revenue TTM positive; Trend: bullish; 3M momentum: 19.01%; RSI14: 52.1; MACD hist: 0.037; mean=0.16, 30d imbalance=0.00 (pos=0, neg=0); implied=81.56%, rating balance=0.88 (SB=2,B=12,H=2,S=0,SS=0); regime=Mixed, beta_1y=1.04 -> score=-0.02",41,78,0.1607915324196724,0.02,2092.74
IMCR,New,29,34.02,986.58,0.051276400787300495,"ROA -0.0% vs med 0.0%; ROE -0.1% vs med 0.1%; Revenue TTM positive; Trend: bullish; 3M momentum: 3.87%; RSI14: 54.7; MACD hist: -0.303; mean=0.13, 30d imbalance=0.00 (pos=0, neg=0); implied=87.07%, rating balance=0.71 (SB=4,B=9,H=3,S=1,SS=0); regime=Mixed, beta_1y=0.71 -> score=0.12",0,29,0.1694985394342563,0.02,986.58
IMVT,New,61,16.23,990.03,0.05145571070916814,"ROA -0.5% vs med 0.0%; ROE -0.8% vs med 0.1%; Trend: bearish; 3M momentum: -2.56%; RSI14: 53.2; MACD hist: -0.070; mean=0.15, 30d imbalance=0.00 (pos=0, neg=0); implied=157.92%, rating balance=0.75 (SB=3,B=9,H=4,S=0,SS=0); regime=Mixed, beta_1y=1.13 -> score=-0.05",0,61,0.25,0.02,990.03
LKQ,New,33,30.3,999.9,0.05196869300738081,"PE_ttm 9.1 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -19.47%; RSI14: 32.3; MACD hist: -0.138; mean=0.20, 30d imbalance=0.00 (pos=0, neg=0); implied=43.21%, rating balance=0.86 (SB=3,B=3,H=1,S=0,SS=0); regime=Mixed, beta_1y=0.54 -> score=0.19",0,33,0.0939315690699145,0.0273467533953872,999.9
MA,New,1,565.13,565.13,0.02937200467972909,"PE_ttm 37.5 vs med 16.5; ROA 0.2% vs med 0.0%; ROE 1.8% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bullish; 3M momentum: 4.84%; RSI14: 45.1; MACD hist: -1.106; mean=0.33, 30d imbalance=0.00 (pos=0, neg=0); implied=10.54%, rating balance=0.69 (SB=5,B=21,H=9,S=0,SS=1); regime=Mixed, beta_1y=0.77 -> score=0.09",0,1,0.0253582320659866,0.02,565.13
