symbol,action,add_shares,price_run,rationale,prev_shares,target_shares,mu_mean_q,mu_sd_q,run_name,run_ts,target_value_usd,target_weight
AAPL,Keep,0,255.46,Posterior conditioned on 14d sentiment,23,23,-0.013712793424869418,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,5875.58,0.11554104743597937
ACCO,New,246,4.06,Posterior conditioned on 14d sentiment,0,246,0.21034570414185239,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,998.7599999999999,0.01964023577879269
ADV,Keep,0,1.56,Posterior conditioned on 14d sentiment,0,0,0.12959908406268061,0.15,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
AENT,Keep,0,6.73,Posterior conditioned on 14d sentiment,0,0,0.09860068279894763,0.15,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
BHVN,Keep,0,15.0,Posterior conditioned on 14d sentiment,0,0,0.25,0.15,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
BIIB,Keep,0,137.37,Posterior conditioned on 14d sentiment,0,0,0.04854901216401575,0.0968055440699321,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
BILL,Keep,0,54.18,Posterior conditioned on 14d sentiment,0,0,0.025123784589262677,0.08972890680047792,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
BMRN,New,18,53.85,Posterior conditioned on 14d sentiment,0,18,0.15679207848923915,0.11110255924005723,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,969.3000000000001,0.01906091607631839
BRZE,Keep,0,31.58,Posterior conditioned on 14d sentiment,0,0,0.08417006140169514,0.15,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
BTM,Keep,0,3.54,Posterior conditioned on 14d sentiment,0,0,0.19409102521001387,0.15,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
BWMX,Keep,0,12.82,Posterior conditioned on 14d sentiment,80,80,0.0929578875073247,0.15,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,1025.6,0.020168034177109398
CAL,Keep,0,13.65,Posterior conditioned on 14d sentiment,0,0,0.0741932201331188,0.15,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
