symbol,in_portfolio,action,add_shares,price_run
AAPL,1,Increase,2,255.46
ACCO,0,New,2,4.06
AMRK,0,New,2,26.65
AMTM,0,New,2,22.57
ARCO,0,New,2,6.92
ARDT,1,Increase,2,13.26
ARX,0,New,2,14.82
ASIX,0,New,2,19.46
ASML,0,New,2,951.52
ATR,0,New,2,132.29
AVGO,1,Increase,2,334.53
AVNW,0,New,2,22.54
AXON,1,Increase,2,708.84
BA,0,New,2,221.26
BABA,0,New,2,171.91
BHVN,0,New,2,15.0
BIIB,0,New,2,137.37
BILL,0,New,2,54.18
CHA,0,New,2,16.87
CHE,0,New,2,462.23
CHMI,0,New,2,2.52
CIVI,0,New,2,33.29
CLDX,0,New,2,26.14
CLS,0,New,2,243.79
CMPS,0,New,2,5.8
CON,0,New,2,20.82
COP,1,Increase,2,98.48
COUR,1,Increase,2,11.72
CPRX,0,New,2,19.52
CRM,0,New,2,243.43
CRNT,0,New,2,2.37
CRNX,0,New,2,45.91
CRTO,1,Increase,2,22.25
CSTM,0,New,2,15.33
DAVA,0,New,2,8.89
DBRG,0,New,2,11.8
DDI,0,New,2,9.32
DDL,0,New,2,2.03
DDOG,0,New,2,139.07
DHR,0,New,2,184.84
DIS,0,New,2,113.47
DOX,1,Increase,2,81.63
DUOL,0,New,1,326.39
DVN,0,New,1,36.99
DXCM,0,New,1,67.1
EEFT,0,New,1,89.45
EFX,0,New,1,254.27
ENOV,0,New,1,29.99
ERIE,0,New,1,315.99
EVH,0,New,1,8.95
FANG,0,New,1,148.25
FI,0,New,1,129.56
HQY,0,New,1,96.53
HRTG,0,New,1,24.86
HTO,0,New,1,48.41
IBM,0,New,1,284.31
IDYA,1,Increase,1,26.83
IMCR,0,New,1,34.02
IMVT,0,New,1,16.23
IMXI,0,New,1,14.21
INSW,1,Increase,1,47.22
INTC,0,New,1,35.5
ITGR,0,New,1,101.5
JANX,0,New,1,23.23
JBS,0,New,1,14.63
KELYA,0,New,1,13.14
KINS,0,New,1,14.91
KNF,0,New,1,73.58
MATV,0,New,1,11.41
MAX,1,Increase,1,12.04
MCD,0,New,1,305.24
MD,0,New,1,16.3
MDB,0,New,1,318.41
MDLZ,0,New,1,63.36
MDXG,0,New,1,6.94
META,0,New,1,743.75
MNKD,0,New,1,5.53
MNMD,0,New,1,10.67
MPAA,0,New,1,16.61
MRVL,0,New,1,83.17
MSFT,0,New,1,511.46
MTDR,0,New,1,49.01
MU,1,Increase,1,157.27
NESR,0,New,1,10.53
NFLX,0,New,1,1210.61
PG,0,New,1,152.5
PHX,0,New,1,4.35
PMTS,0,New,1,15.44
PRCT,1,Increase,1,36.66
PRU,1,Increase,1,104.41
QCOM,0,New,1,169.2
QUAD,1,Increase,1,6.55
RARE,0,New,1,29.08
RCI,1,Increase,1,35.66
RCKT,0,New,1,3.26
SBUX,0,New,1,83.39
SHOP,0,New,1,140.25
SLB,0,New,1,35.52
SLGN,0,New,1,42.5
SLP,0,New,1,14.89
SLVM,0,New,1,43.06
TBLA,0,New,1,3.51
TCOM,0,New,1,75.92
TEAD,0,New,1,1.69
TMUS,0,New,1,237.47
TNC,0,New,1,80.57
TOT,0,New,1,20.7175
TRVG,0,New,1,3.45
TSLA,0,New,1,440.4
TWLO,0,New,1,102.34
TX,0,New,1,34.48
TXG,0,New,1,11.72
TXN,0,New,1,184.55
TXO,0,New,1,14.32
UAL,1,Increase,1,97.91
UBER,0,New,1,98.45
UHS,0,New,1,200.85
UIS,0,New,1,3.98
WELL,0,New,1,174.9
WMT,0,New,1,103.16
WSR,0,New,1,12.5
XOM,0,New,1,117.22
XPO,0,New,1,126.05
ZBH,0,New,1,98.24
ZM,0,New,1,84.51
ZTS,0,New,1,143.5
