symbol,in_portfolio,status,current_shares,add_shares,target_shares,price_run,current_value_usd,add_value_usd,target_value_usd,weight_total_100,weight_total_pct,weight_trades_100,weight_trades_pct
AAPL,1,Keep in portfolio,23,0,23,254.63,5856.49,0.0,5856.49,0.07820090476324641,7.8200904763246415,0.0,0.0
ALIT,1,Keep in portfolio,700,0,700,3.26,2282.0,0.0,2282.0,0.030471231858968138,3.047123185896814,0.0,0.0
AMZN,1,Keep in portfolio,50,0,50,219.57,10978.5,0.0,10978.5,0.14659439919530312,14.659439919530312,0.0,0.0
ARDT,1,Keep in portfolio,190,0,190,13.25,2517.5,0.0,2517.5,0.03361583093994403,3.3615830939944034,0.0,0.0
AVGO,1,Keep in portfolio,13,0,13,329.91,4288.83,0.0,4288.83,0.05726815658794843,5.726815658794843,0.0,0.0
AXON,1,Keep in portfolio,2,0,2,717.64,1435.28,0.0,1435.28,0.019165096258781676,1.9165096258781675,0.0,0.0
BWMX,1,Keep in portfolio,80,0,80,13.45,1076.0,0.0,1076.0,0.014367679877410042,1.4367679877410042,0.0,0.0
COP,1,Keep in portfolio,25,0,25,94.59,2364.75,0.0,2364.75,0.03157618121757007,3.157618121757007,0.0,0.0
COUR,1,Keep in portfolio,200,0,200,11.71,2342.0,0.0,2342.0,0.03127240359934416,3.127240359934416,0.0,0.0
CRTO,1,Keep in portfolio,150,0,150,22.6,3390.0,0.0,3390.0,0.04526620333124539,4.526620333124539,0.0,0.0
CTRA,1,Keep in portfolio,170,0,170,23.65,4020.4999999999995,0.0,4020.4999999999995,0.053685183036363444,5.368518303636344,0.0,0.0
CVS,1,Keep in portfolio,35,0,35,75.39,2638.65,0.0,2638.65,0.03523353021238663,3.523353021238663,0.0,0.0
DOX,1,Keep in portfolio,24,0,24,82.05,1969.1999999999998,0.0,1969.1999999999998,0.026294456519141127,2.6294456519141125,0.0,0.0
IDYA,1,Keep in portfolio,41,0,41,27.21,1115.6100000000001,0.0,1115.6100000000001,0.014896586754681616,1.4896586754681616,0.0,0.0
INSW,1,Keep in portfolio,22,0,22,46.08,1013.76,0.0,1013.76,0.013536597725393312,1.3536597725393311,0.0,0.0
MAX,1,Keep in portfolio,180,0,180,11.38,2048.4,0.0,2048.4,0.027352003216437482,2.7352003216437484,0.0,0.0
MU,1,Keep in portfolio,13,0,13,167.32,2175.16,0.0,2175.16,0.029044612046605228,2.9044612046605227,0.0,0.0
NVDA,1,Keep in portfolio,52,0,52,186.58,9702.16,0.0,9702.16,0.12955160687677753,12.955160687677752,0.0,0.0
PRCT,1,Keep in portfolio,55,0,55,35.69,1962.9499999999998,0.0,1962.9499999999998,0.026211001129518623,2.6211001129518623,0.0,0.0
PRU,1,Keep in portfolio,20,0,20,103.74,2074.7999999999997,0.0,2074.7999999999997,0.02770451878220293,2.770451878220293,0.0,0.0
QUAD,1,Keep in portfolio,155,0,155,6.26,970.3,0.0,970.3,0.012956282328114278,1.295628232811428,0.0,0.0
RCI,1,Keep in portfolio,28,0,28,34.47,965.16,0.0,965.16,0.012887648615688732,1.2887648615688732,0.0,0.0
SPGI,1,Keep in portfolio,9,0,9,486.71,4380.389999999999,0.0,4380.389999999999,0.05849074466376224,5.849074466376224,0.0,0.0
UAL,1,Keep in portfolio,22,0,22,96.5,2123.0,0.0,2123.0,0.028348126746971673,2.8348126746971674,0.0,0.0
NFLX,0,New,0,1,1,1198.92,0.0,1198.92,1198.92,0.016009013716193725,1.6009013716193725,1.0,100.0
